
### SHIELD_REGEN_FRACTION 0.035 · tier 0 · 100 episodes

| knife-fights | pursuit | 1 | 43.0% | 5.68/s | 0.74/s | 13.0% |  0.74/s |  0.00/s |  0.00/s |  0.74/s | 0.0% | 0.0% | 0.0% | 1.00 |
| knife-fights | pursuit | 2 | 56.6% | 5.66/s | 0.99/s | 17.5% |  1.70/s |  0.00/s |  0.25/s |  1.96/s | 0.0% | 0.0% | 0.0% | 1.38 |
| knife-fights | pursuit | 3 | 62.8% | 5.37/s | 1.23/s | 22.9% |  3.01/s |  0.00/s |  0.26/s |  3.26/s | 0.0% | 0.0% | 0.0% | 1.30 |
| knife-fights | pursuit | 4 | 63.4% | 5.18/s | 1.28/s | 24.7% |  4.37/s |  0.00/s |  0.26/s |  4.63/s | 0.0% | 0.0% | 0.0% | 1.25 |
| runs | pursuit | 1 | 28.7% | 4.88/s | 0.87/s | 17.9% |  0.87/s |  0.00/s |  0.00/s |  0.87/s | 0.0% | 0.0% | 0.0% | 0.00 |
| runs | pursuit | 2 | 28.9% | 5.23/s | 0.98/s | 18.8% |  1.96/s |  0.00/s |  0.00/s |  1.96/s | 0.0% | 0.0% | 0.0% | 0.00 |
| runs | pursuit | 3 | 29.5% | 5.01/s | 0.98/s | 19.6% |  2.94/s |  0.00/s |  0.00/s |  2.94/s | 0.0% | 0.0% | 0.0% | 0.00 |
| runs | pursuit | 4 | 29.2% | 4.90/s | 0.94/s | 19.3% |  3.78/s |  0.00/s |  0.00/s |  3.78/s | 1.0% | 0.0% | 0.0% | 0.00 |

### SHIELD_REGEN_FRACTION 0.007 · tier 0 · 100 episodes

| knife-fights | pursuit | 1 | 43.0% | 5.68/s | 0.74/s | 13.0% |  0.74/s |  0.00/s |  0.00/s |  0.74/s | 0.0% | 0.0% | 0.0% | 1.00 |
| knife-fights | pursuit | 2 | 56.6% | 5.66/s | 0.99/s | 17.5% |  1.70/s |  0.00/s |  0.25/s |  1.96/s | 0.0% | 0.0% | 0.0% | 1.38 |
| knife-fights | pursuit | 3 | 62.8% | 5.37/s | 1.23/s | 22.9% |  3.01/s |  0.00/s |  0.26/s |  3.26/s | 1.0% | 0.0% | 0.0% | 1.30 |
| knife-fights | pursuit | 4 | 63.4% | 5.18/s | 1.28/s | 24.7% |  4.37/s |  0.00/s |  0.26/s |  4.63/s | 0.0% | 0.0% | 0.0% | 1.25 |
| runs | pursuit | 1 | 28.7% | 4.88/s | 0.87/s | 17.9% |  0.87/s |  0.00/s |  0.00/s |  0.87/s | 0.0% | 0.0% | 0.0% | 0.00 |
| runs | pursuit | 2 | 28.9% | 5.23/s | 0.98/s | 18.8% |  1.96/s |  0.00/s |  0.00/s |  1.96/s | 0.0% | 0.0% | 0.0% | 0.00 |
| runs | pursuit | 3 | 29.5% | 5.01/s | 0.98/s | 19.6% |  2.94/s |  0.00/s |  0.00/s |  2.94/s | 0.0% | 0.0% | 0.0% | 0.00 |
| runs | pursuit | 4 | 29.2% | 4.90/s | 0.94/s | 19.3% |  3.78/s |  0.00/s |  0.00/s |  3.78/s | 1.0% | 0.0% | 0.0% | 0.00 |
